Designator,Mid X,Mid Y,Rotation,Layer
C1,163.35,-112.25,0.0,top
C10,140.35,-87.15,90.0,top
C11,141.9,-87.15,90.0,top
C12,143.45,-87.15,90.0,top
C13,142.75,-96.75,270.0,top
C14,148.2,-87.1,90.0,top
C15,155.9,-95.95,0.0,top
C16,154.65,-91.7,90.0,top
C17,156.25,-91.7,90.0,top
C18,159.3,-97.6,180.0,top
C19,159.3,-92.35,0.0,top
C2,132.4,-120.3,270.0,top
C20,124.575,-83.15,180.0,top
C21,174.6,-82.9,180.0,top
C22,134.25,-97.85,0.0,top
C23,132.15,-110.1,270.0,top
C24,133.2,-96.05,0.0,top
C25,132.9,-107.7,0.0,top
C3,125.95,-125.15,0.0,top
C4,164.85,-107.95,0.0,top
C5,146.2,-111.75,0.0,top
C6,173.95,-85.4,90.0,top
C7,175.56,-85.4,90.0,top
C8,152.45,-84.35,0.0,top
C9,153.1,-89.45,0.0,top
D1,131.8,-125.2,0.0,top
J1,143.1,-126.35,0.0,top
J2,162.2,-119.1,0.0,top
J3,173.1,-123.5,90.0,top
J4,172.0125,-93.8,270.0,top
J5,125.67,-99.59,90.0,bottom
L1,151.7,-86.75,90.0,top
L2,155.9,-93.8,180.0,top
L3,145.75,-87.9,0.0,top
R1,140.3,-120.25,0.0,top
R10,164.6,-98.1,270.0,top
R11,137.8,-108.5,90.0,top
R12,136.45,-96.05,180.0,top
R13,124.55,-84.75,0.0,top
R14,177.6,-83.725,90.0,top
R15,130.85,-96.6,270.0,top
R16,130.3,-108.15,270.0,top
R2,145.7,-120.7,180.0,top
R3,157.3,-107.75,0.0,top
R4,161.75,-107.95,180.0,top
R5,158.45,-101.75,270.0,top
R6,162.8,-105.05,90.0,top
R7,161.15,-104.25,90.0,top
R8,156.1,-100.75,180.0,top
R9,162.75,-99.15,270.0,top
SW1,124.6,-80.3,0.0,top
SW2,174.5,-80.3,0.0,top
U1,159.5397,-110.500001,0.0,top
U2,127.1,-118.45,270.0,top
U3,143.1,-117.3,270.0,top
U4,149.35,-107.9,90.0,top
U6,149.6,-95.6,0.0,top
U7,135.2,-91.3,180.0,top
U8,135.2,-102.774999,180.0,top
X1,159.225,-94.975,180.0,top
